bounds,percentages,inner_cmf,outer_cmf
0.5,0.1,0.5401578947368435,0.297
0.5,0.15,0.6452368421052651,0.2805
0.5,0.2,0.7503157894736868,0.264
0.5,0.25,0.8553947368421085,0.24749999999999997
0.5,0.3,0.9604736842105303,0.231
0.6,0.1,0.5118837209302337,0.29700000000000004
0.6,0.15,0.6028255813953506,0.2805
0.6,0.2,0.6937674418604675,0.264
0.6,0.25,0.7847093023255843,0.24750000000000003
0.6,0.3,0.8756511627907011,0.23100000000000004
0.7,0.1,0.5070000000000011,0.29700000000000004
0.7,0.15,0.5955000000000017,0.2805
0.7,0.2,0.6840000000000023,0.264
0.7,0.25,0.7725000000000027,0.2475
0.7,0.3,0.8610000000000032,0.231
0.8,0.1,0.4020000000000003,0.29700000000000004
0.8,0.15,0.4380000000000005,0.2805
0.8,0.2,0.4740000000000006,0.264
0.8,0.25,0.5100000000000008,0.2475
0.8,0.3,0.5460000000000009,0.231
