bounds,percentages,inner_cmf,outer_cmf,
0.5,0.01,0.56,0.33,
0.5,0.02,0.79,0.32,
0.55,0.01,0.48,0.33,
0.55,0.02,0.63,0.32,
0.55,0.03,0.78,0.32,
0.55,0.04,0.93,0.32,
0.6,0.01,0.41,0.33,
0.6,0.02,0.49,0.32,
0.6,0.03,0.57,0.32,
0.6,0.04,0.65,0.32,
0.6,0.05,0.73,0.31,
0.65,0.01,0.38,0.33,
0.65,0.02,0.44,0.32,
0.65,0.03,0.49,0.32,
0.65,0.04,0.55,0.32,
0.65,0.05,0.60,0.31,
0.65,0.1,0.87,0.30,
0.7,0.01,0.34,0.33,
0.7,0.02,0.35,0.32,
0.7,0.03,0.36,0.32,
0.7,0.04,0.37,0.32,
0.7,0.05,0.38,0.31,
0.7,0.1,0.43,0.30,
0.7,0.15,0.48,0.28,
0.7,0.2,0.52,0.26,
0.7,0.25,0.57,0.25,
0.7,0.3,0.62,0.23,
0.7,0.35,0.67,0.21,
0.7,0.4,0.72,0.20,
0.7,0.45,0.77,0.18,
0.7,0.5,0.82,0.17,
0.7,0.55,0.86,0.15,
0.75,0.01,0.34,0.33,
0.75,0.02,0.35,0.32,
0.75,0.03,0.36,0.32,
0.75,0.04,0.36,0.32,
0.75,0.05,0.37,0.31,
0.75,0.1,0.42,0.30,
0.75,0.15,0.46,0.28,
0.75,0.2,0.50,0.26,
0.75,0.25,0.55,0.25,
0.75,0.3,0.59,0.23,
0.75,0.35,0.63,0.21,
0.75,0.4,0.68,0.20,
0.75,0.45,0.72,0.18,
0.75,0.5,0.77,0.17,
0.75,0.55,0.81,0.15,
0.8,0.01,0.34,0.33,
0.8,0.02,0.35,0.32,
0.8,0.03,0.35,0.32,
0.8,0.04,0.36,0.32,
0.8,0.05,0.37,0.31,
0.8,0.1,0.41,0.30,
0.8,0.15,0.45,0.28,
0.8,0.2,0.49,0.26,
0.8,0.25,0.53,0.25,
0.8,0.3,0.57,0.23,
0.8,0.35,0.61,0.21,
0.8,0.4,0.65,0.20,
0.8,0.45,0.69,0.18,
0.8,0.5,0.74,0.17,
0.8,0.55,0.78,0.15,
