bounds,percentages,inner_cmf,outer_cmf
0.6,0.05,0.93,0.31
0.65,0.05,0.59,0.31
0.65,0.1,0.85,0.30
0.7,0.05,0.40,0.31
0.7,0.1,0.46,0.30
0.7,0.15,0.53,0.28
0.7,0.2,0.59,0.26
0.7,0.25,0.66,0.25
0.7,0.3,0.73,0.23
0.7,0.35,0.79,0.21
0.7,0.4,0.86,0.20
0.7,0.45,0.92,0.18
0.75,0.05,0.36,0.31
0.75,0.1,0.40,0.30
0.75,0.15,0.43,0.28
0.75,0.2,0.46,0.26
0.75,0.25,0.50,0.25
0.75,0.3,0.53,0.23
0.75,0.35,0.56,0.21
0.75,0.4,0.59,0.20
0.75,0.45,0.63,0.18
0.8,0.05,0.34,0.31
0.8,0.1,0.36,0.30
0.8,0.15,0.37,0.28
0.8,0.2,0.38,0.26
0.8,0.25,0.40,0.25
0.8,0.3,0.41,0.23
0.8,0.35,0.43,0.21
0.8,0.4,0.44,0.20
0.8,0.45,0.45,0.18
